,YearStart,YearEnd,LocationAbbr,LocationDesc,StratificationCategory1,Stratification1,StratificationCategoryID1,StratificationID1,LocationID,OverweightValue,ObeseValue,TvValue,SodaValue,VegetableValue,FruitValue,PhysicalActivityValue,PhysicalEducationValue
749,2005,2005,WV,West Virginia,Grade,9th,GRADE,GRADE09,54,13.6,12.0,19.9,17.1,39.8,43.1,18.2,31.0
750,2019,2019,NM,New Mexico,Total,Total,OVR,OVERALL,35,15.2,12.7,18.6,12.3,42.9,45.8,18.3,9.3
752,2017,2017,MA,Massachusetts,Grade,10th,GRADE,GRADE10,25,19.2,16.2,36.1,29.1,48.7,52.8,13.9,24.3
756,2013,2013,IL,Illinois,Gender,Male,GEN,MALE,17,14.6,12.9,22.7,25.0,45.3,50.3,32.2,25.9
759,2013,2013,AL,Alabama,Grade,10th,GRADE,GRADE10,1,15.7,17.7,15.2,18.1,44.6,42.8,30.3,69.5
766,2015,2015,ND,North Dakota,Grade,12th,GRADE,GRADE12,38,16.3,15.4,27.4,40.5,42.6,53.0,17.6,20.0
769,2007,2007,DE,Delaware,Gender,Male,GEN,MALE,10,19.5,20.0,30.4,21.8,58.3,46.3,25.2,32.0
770,2019,2019,NM,New Mexico,Grade,9th,GRADE,GRADE09,35,16.7,12.9,28.2,25.3,43.8,48.2,21.5,26.8
772,2013,2013,FL,Florida,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,12,17.9,20.4,19.3,16.5,46.2,48.8,20.3,25.6
779,2019,2019,IA,Iowa,Grade,12th,GRADE,GRADE12,19,13.3,11.7,23.8,28.4,39.3,42.5,28.3,18.0
783,2017,2017,NV,Nevada,Grade,10th,GRADE,GRADE10,32,18.3,23.8,19.8,15.2,45.7,54.8,19.4,10.9
784,2019,2019,MS,Mississippi,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,28,20.8,14.7,27.1,15.3,43.4,37.6,26.7,34.0
786,2019,2019,CT,Connecticut,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,9,19.4,18.9,20.6,16.8,56.4,46.9,19.0,32.7
787,2019,2019,MA,Massachusetts,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,25,6.0,6.8,26.1,18.5,31.5,32.2,14.0,35.8
790,2007,2007,FL,Florida,Race/Ethnicity,Asian,RACE,RACEASN,12,13.8,17.3,19.8,24.3,44.9,47.9,37.7,34.2
793,2019,2019,OK,Oklahoma,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,40,14.1,12.9,17.7,25.4,44.0,56.6,31.8,38.9
796,2005,2005,GA,Georgia,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,13,18.2,13.2,34.9,29.3,40.9,37.8,30.4,42.2
797,2019,2019,AR,Arkansas,Grade,9th,GRADE,GRADE09,5,13.6,13.8,24.1,20.4,36.6,40.3,26.0,21.8
799,2017,2017,CA,California,Gender,Male,GEN,MALE,6,13.7,16.4,14.1,9.3,35.0,39.8,24.7,15.3
800,2019,2019,VT,Vermont,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,50,13.9,12.2,28.0,26.4,43.6,41.7,21.1,79.8
801,2019,2019,NC,North Carolina,Gender,Male,GEN,MALE,37,13.8,24.2,24.5,36.2,42.1,44.7,29.5,22.5
802,2017,2017,WI,Wisconsin,Gender,Female,GEN,FEMALE,55,18.5,19.4,24.3,26.5,50.5,57.0,25.8,21.6
803,2013,2013,IL,Illinois,Grade,12th,GRADE,GRADE12,17,16.3,17.9,22.9,14.6,51.0,43.9,20.6,29.1
804,2017,2017,DE,Delaware,Race/Ethnicity,Hispanic,RACE,RACEHIS,10,12.6,9.6,21.3,27.6,37.5,41.5,26.0,18.8
807,2007,2007,VT,Vermont,Gender,Female,GEN,FEMALE,50,12.0,7.7,18.6,19.1,33.0,42.2,14.6,17.2
810,2001,2001,WY,Wyoming,Total,Total,OVR,OVERALL,56,15.8,13.1,15.4,12.9,42.4,41.8,19.9,7.1
812,2007,2007,MI,Michigan,Grade,12th,GRADE,GRADE12,26,15.0,12.4,24.6,16.2,37.8,40.4,25.1,17.1
815,2005,2005,SC,South Carolina,Grade,10th,GRADE,GRADE10,45,15.2,16.1,30.4,38.2,43.4,51.0,22.5,20.3
816,2007,2007,NY,New York,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,36,15.0,25.5,19.7,32.3,50.3,49.6,33.3,32.8
819,2015,2015,AK,Alaska,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,2,11.4,8.5,12.9,11.8,33.6,40.1,21.0,13.0
824,2019,2019,MD,Maryland,Gender,Male,GEN,MALE,24,10.8,20.7,22.4,11.5,33.3,44.2,16.8,16.8
832,2019,2019,OK,Oklahoma,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,40,18.7,25.5,34.3,22.5,61.4,44.1,19.4,22.9
833,2019,2019,WI,Wisconsin,Gender,Female,GEN,FEMALE,55,14.8,16.3,27.3,25.2,38.0,42.4,25.6,29.8
834,2015,2015,AR,Arkansas,Race/Ethnicity,Hispanic,RACE,RACEHIS,5,9.4,10.6,19.8,15.6,33.3,34.8,22.2,24.6
839,2007,2007,NH,New Hampshire,Gender,Male,GEN,MALE,33,11.4,13.6,21.6,18.1,30.1,38.8,21.0,17.8
840,2015,2015,CA,California,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,6,17.1,18.9,33.4,29.4,48.1,51.0,21.2,25.0
846,2009,2009,GA,Georgia,Gender,Male,GEN,MALE,13,17.6,25.9,19.8,13.7,47.7,54.7,22.7,14.5
851,2009,2009,MT,Montana,Gender,Female,GEN,FEMALE,30,15.3,11.1,26.6,29.9,36.8,40.4,22.3,28.5
854,2005,2005,GA,Georgia,Total,Total,OVR,OVERALL,13,28.9,21.0,18.0,23.8,52.8,42.9,25.0,30.3
856,2007,2007,TN,Tennessee,Race/Ethnicity,Hispanic,RACE,RACEHIS,47,20.9,21.3,26.4,17.8,46.2,46.9,20.3,39.4
865,2015,2015,FL,Florida,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,12,16.0,10.4,23.0,12.1,43.5,47.5,12.6,12.3
867,2017,2017,KS,Kansas,Grade,12th,GRADE,GRADE12,20,19.4,14.1,21.3,14.9,42.4,43.6,16.7,16.0
869,2019,2019,SD,South Dakota,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,46,11.6,14.0,30.3,34.1,44.6,56.7,29.6,29.5
870,2019,2019,OK,Oklahoma,Gender,Male,GEN,MALE,40,15.1,14.9,19.6,18.7,44.8,37.2,25.3,40.3
872,2017,2017,VA,Virginia,Grade,10th,GRADE,GRADE10,51,15.5,12.5,27.5,14.1,37.6,39.1,38.0,45.2
873,2013,2013,US,National,Grade,11th,GRADE,GRADE11,59,15.4,21.0,26.9,14.9,55.7,47.5,16.3,29.1
875,2019,2019,ME,Maine,Gender,Female,GEN,FEMALE,23,19.9,17.3,27.1,21.1,50.6,52.9,15.8,19.1
876,2003,2003,FL,Florida,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,12,15.8,20.6,42.0,38.7,45.2,44.8,28.0,27.4
878,2019,2019,US,National,Grade,9th,GRADE,GRADE09,59,9.4,6.1,16.0,9.7,26.2,32.6,17.2,22.0
884,2011,2011,MS,Mississippi,Grade,12th,GRADE,GRADE12,28,12.6,11.0,19.4,14.0,28.7,36.8,22.8,15.8
886,2019,2019,MI,Michigan,Gender,Male,GEN,MALE,26,19.0,8.9,20.1,11.8,45.8,51.6,15.0,26.1
889,2019,2019,FL,Florida,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,12,12.6,9.9,29.0,35.8,45.9,56.0,31.0,24.9
890,2011,2011,NE,Nebraska,Grade,9th,GRADE,GRADE09,31,14.5,17.8,15.5,11.2,46.9,60.1,16.4,7.5
894,2005,2005,NM,New Mexico,Grade,11th,GRADE,GRADE11,35,12.4,4.9,29.5,10.2,37.1,35.4,17.1,45.3
895,2019,2019,TX,Texas,Grade,11th,GRADE,GRADE11,48,13.8,9.5,23.4,19.6,31.1,35.3,29.7,17.1
896,2007,2007,RI,Rhode Island,Grade,9th,GRADE,GRADE09,44,14.7,10.4,20.0,18.7,32.9,36.9,16.7,13.2
898,2017,2017,ME,Maine,Race/Ethnicity,Hispanic,RACE,RACEHIS,23,11.0,14.9,32.0,19.9,40.2,47.5,19.7,9.6
904,2017,2017,KS,Kansas,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,20,13.7,13.2,17.1,21.8,38.7,38.0,26.5,35.4
909,2013,2013,VT,Vermont,Grade,11th,GRADE,GRADE11,50,19.8,17.8,30.4,18.7,50.9,48.4,21.6,37.8
913,2019,2019,PA,Pennsylvania,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,42,14.7,11.2,24.9,37.6,42.5,50.6,21.0,21.0
916,2019,2019,PA,Pennsylvania,Grade,11th,GRADE,GRADE11,42,14.3,16.7,18.2,15.2,45.5,48.6,18.1,25.7
917,2019,2019,NV,Nevada,Race/Ethnicity,Asian,RACE,RACEASN,32,17.0,18.1,20.9,19.1,51.7,53.5,32.5,33.2
930,2019,2019,AL,Alabama,Grade,12th,GRADE,GRADE12,1,16.1,17.9,18.8,22.6,47.6,50.4,21.2,12.2
935,2009,2009,WI,Wisconsin,Gender,Male,GEN,MALE,55,15.9,18.3,35.2,46.6,38.6,48.4,22.9,17.8
939,2009,2009,CT,Connecticut,Grade,10th,GRADE,GRADE10,9,14.9,8.4,28.2,15.3,33.9,37.1,18.2,23.1
940,2011,2011,IN,Indiana,Grade,11th,GRADE,GRADE11,18,16.5,11.9,20.7,14.6,43.0,42.5,16.1,67.8
944,2011,2011,KY,Kentucky,Gender,Female,GEN,FEMALE,21,13.6,10.9,40.0,39.1,38.6,55.8,25.0,23.1
945,2019,2019,ND,North Dakota,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,38,18.5,15.6,23.3,13.4,41.4,41.7,21.5,25.6
947,2019,2019,ID,Idaho,Grade,10th,GRADE,GRADE10,16,15.5,15.2,17.8,13.7,44.5,42.9,26.0,60.8
948,2019,2019,TN,Tennessee,Grade,11th,GRADE,GRADE11,47,14.1,8.8,24.6,27.5,36.0,39.7,25.1,13.1
951,2007,2007,WI,Wisconsin,Grade,10th,GRADE,GRADE10,55,13.2,14.0,29.4,26.7,37.0,43.3,21.7,20.9
952,2019,2019,CO,Colorado,Gender,Male,GEN,MALE,8,15.3,12.6,19.0,11.8,39.7,46.9,17.5,10.2
956,2015,2015,FL,Florida,Race/Ethnicity,Hispanic,RACE,RACEHIS,12,14.2,15.7,26.9,41.0,39.3,47.9,27.2,23.2
960,2019,2019,MI,Michigan,Race/Ethnicity,Asian,RACE,RACEASN,26,14.4,11.0,24.8,14.7,35.9,36.3,23.6,23.4
964,2017,2017,KS,Kansas,Grade,10th,GRADE,GRADE10,20,13.4,8.5,29.1,27.5,38.4,43.4,15.2,17.4
967,2019,2019,NJ,New Jersey,Gender,Male,GEN,MALE,34,14.9,13.5,18.7,17.6,35.7,43.5,28.8,29.5
979,2011,2011,MI,Michigan,Grade,12th,GRADE,GRADE12,26,17.6,14.8,18.9,10.7,42.5,49.6,24.4,29.2
984,2019,2019,US,National,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,59,17.0,12.3,22.2,18.0,41.7,45.0,33.2,38.5
986,2019,2019,MD,Maryland,Gender,Female,GEN,FEMALE,24,16.3,17.2,19.7,22.2,39.8,47.3,23.8,20.5
993,2003,2003,US,National,Grade,11th,GRADE,GRADE11,59,18.3,17.0,28.7,28.9,53.3,51.3,20.5,32.0
994,2005,2005,CT,Connecticut,Grade,12th,GRADE,GRADE12,9,18.0,24.4,16.6,17.9,43.6,56.3,22.5,15.2
995,2013,2013,ME,Maine,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,23,9.9,12.5,12.3,6.5,30.8,32.2,13.7,22.0
1000,2019,2019,SC,South Carolina,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,45,15.5,15.8,36.6,37.2,44.0,36.6,37.5,43.8
1002,2011,2011,MT,Montana,Grade,12th,GRADE,GRADE12,30,18.1,16.0,34.3,20.3,51.2,41.4,22.6,24.6
1003,2003,2003,DC,District of Columbia,Total,Total,OVR,OVERALL,11,17.5,12.0,30.9,32.6,50.1,41.0,23.2,13.5
1004,2017,2017,NM,New Mexico,Grade,11th,GRADE,GRADE11,35,15.8,17.6,19.3,16.5,43.6,49.3,29.0,37.8
1005,2019,2019,DC,District of Columbia,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,11,14.8,11.9,16.4,22.9,41.6,50.1,23.3,20.9
1008,2019,2019,OH,Ohio,Grade,11th,GRADE,GRADE11,39,22.8,14.8,36.5,26.3,38.5,34.4,21.4,38.3
1011,2013,2013,ME,Maine,Grade,10th,GRADE,GRADE10,23,18.0,17.0,21.5,19.5,45.8,46.6,25.7,61.8
1016,2019,2019,AR,Arkansas,Grade,11th,GRADE,GRADE11,5,15.5,15.5,19.4,13.9,42.3,43.3,20.0,19.7
1018,2007,2007,MA,Massachusetts,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,25,15.9,16.4,30.5,26.8,40.8,42.0,24.3,25.2
1021,2015,2015,NC,North Carolina,Grade,11th,GRADE,GRADE11,37,17.2,12.5,30.3,23.9,40.0,41.7,14.8,19.9
1023,2011,2011,TN,Tennessee,Grade,10th,GRADE,GRADE10,47,10.1,8.9,15.7,27.8,31.1,42.6,25.6,11.8
1024,2017,2017,NM,New Mexico,Grade,12th,GRADE,GRADE12,35,13.6,5.3,17.1,10.6,36.5,42.1,12.9,17.8
1025,2015,2015,NE,Nebraska,Grade,10th,GRADE,GRADE10,31,19.4,21.3,35.2,24.3,58.7,44.5,16.5,20.8
1026,2013,2013,WY,Wyoming,Grade,9th,GRADE,GRADE09,56,16.2,14.0,29.0,38.1,45.8,49.2,27.5,31.4
1029,2009,2009,KS,Kansas,Grade,12th,GRADE,GRADE12,20,18.0,16.7,18.7,11.2,44.9,56.1,19.1,6.9
1035,2017,2017,TX,Texas,Gender,Female,GEN,FEMALE,48,15.8,14.5,20.4,17.9,40.2,45.5,23.2,20.4
1040,2011,2011,KS,Kansas,Gender,Female,GEN,FEMALE,20,19.6,19.2,21.3,16.1,46.8,39.5,20.9,29.9
1049,2013,2013,MT,Montana,Grade,12th,GRADE,GRADE12,30,13.0,10.3,25.2,26.4,35.7,37.1,26.4,31.1
1051,2019,2019,IA,Iowa,Grade,10th,GRADE,GRADE10,19,15.2,13.7,28.7,35.6,37.6,39.7,23.5,25.2
1055,2019,2019,NJ,New Jersey,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,34,21.0,16.6,45.1,19.8,56.3,40.0,20.8,19.0
1058,2019,2019,MD,Maryland,Grade,11th,GRADE,GRADE11,24,15.4,12.7,22.6,13.7,42.9,45.6,18.7,11.5
1059,2019,2019,NY,New York,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,36,14.8,13.5,18.6,14.9,44.1,43.9,22.4,20.9
1060,2015,2015,MS,Mississippi,Gender,Female,GEN,FEMALE,28,15.1,13.0,21.9,23.9,33.7,38.3,36.3,36.8
1062,2011,2011,FL,Florida,Gender,Male,GEN,MALE,12,15.6,13.2,17.1,12.4,42.9,42.5,26.8,31.7
1064,2017,2017,FL,Florida,Race/Ethnicity,Hispanic,RACE,RACEHIS,12,20.9,17.1,22.8,18.5,50.9,47.0,17.0,19.2
1067,2017,2017,MI,Michigan,Grade,9th,GRADE,GRADE09,26,10.5,10.5,18.8,17.5,37.3,44.3,27.8,26.2
1070,2019,2019,NM,New Mexico,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,35,16.1,9.2,25.5,17.5,40.2,40.7,23.4,21.9
1077,2017,2017,IL,Illinois,Gender,Male,GEN,MALE,17,13.4,10.7,22.7,21.0,38.0,42.5,27.8,23.7
1079,2019,2019,IA,Iowa,Gender,Male,GEN,MALE,19,16.8,14.6,49.1,22.6,56.9,44.9,32.5,39.7
1081,2001,2001,MS,Mississippi,Gender,Male,GEN,MALE,28,14.5,8.5,29.9,25.3,42.1,47.1,17.5,26.5
1084,2019,2019,VT,Vermont,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,50,13.9,22.0,29.9,33.4,40.9,41.5,43.6,41.3
1085,2019,2019,US,National,Grade,11th,GRADE,GRADE11,59,14.5,15.2,28.3,36.5,33.9,36.2,36.2,32.8
1086,2005,2005,OH,Ohio,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,39,16.7,12.4,27.2,12.9,39.4,44.4,17.3,15.0
1090,2019,2019,MD,Maryland,Total,Total,OVR,OVERALL,24,12.6,10.9,12.8,13.5,36.1,39.9,24.2,8.5
1092,2009,2009,SD,South Dakota,Total,Total,OVR,OVERALL,46,17.0,25.3,24.8,22.4,55.4,53.3,25.3,23.3
1093,2019,2019,MS,Mississippi,Grade,9th,GRADE,GRADE09,28,15.8,13.3,20.6,13.2,42.4,46.4,20.3,11.3
1094,2015,2015,OK,Oklahoma,Gender,Female,GEN,FEMALE,40,19.2,15.1,34.8,22.7,51.7,37.1,19.8,66.3
1099,2017,2017,MT,Montana,Grade,10th,GRADE,GRADE10,30,17.6,16.4,26.8,31.1,49.6,48.0,20.3,24.7
1104,2017,2017,MD,Maryland,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI,24,17.0,15.9,36.5,38.5,46.9,47.5,31.5,35.4
1107,2015,2015,ME,Maine,Total,Total,OVR,OVERALL,23,17.8,19.7,29.1,33.4,44.2,44.3,20.7,8.6
1110,2019,2019,CA,California,Total,Total,OVR,OVERALL,6,16.4,13.7,18.7,23.7,47.7,54.5,22.4,12.7
1114,2009,2009,SD,South Dakota,Grade,10th,GRADE,GRADE10,46,18.7,18.3,20.3,27.8,51.9,53.6,19.2,17.5
1115,2019,2019,MS,Mississippi,Grade,12th,GRADE,GRADE12,28,17.7,13.5,43.6,18.9,48.6,44.3,18.2,15.4
1117,2015,2015,WY,Wyoming,Grade,9th,GRADE,GRADE09,56,14.1,12.4,21.7,15.5,41.3,37.9,23.3,16.1
1119,2015,2015,ID,Idaho,Race/Ethnicity,Hispanic,RACE,RACEHIS,16,13.0,9.7,28.9,32.2,40.5,39.4,26.2,72.1
1121,2019,2019,TX,Texas,Race/Ethnicity,Hispanic,RACE,RACEHIS,48,19.8,11.9,39.5,41.7,42.2,48.5,13.2,26.9
1122,2011,2011,RI,Rhode Island,Race/Ethnicity,Asian,RACE,RACEASN,44,17.8,16.7,26.1,22.9,47.9,44.6,26.1,47.6
1124,2019,2019,WI,Wisconsin,Race/Ethnicity,Hispanic,RACE,RACEHIS,55,12.1,17.7,31.2,20.7,42.4,46.6,16.8,7.1
1125,2017,2017,VA,Virginia,Grade,12th,GRADE,GRADE12,51,14.6,11.7,18.0,15.1,37.3,41.6,28.0,34.7
1129,2017,2017,OK,Oklahoma,Gender,Male,GEN,MALE,40,16.9,14.0,30.3,29.4,46.7,45.4,26.2,23.0
1133,2019,2019,TX,Texas,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,48,20.3,11.0,48.7,22.7,53.5,47.6,23.6,30.4
1135,2017,2017,MI,Michigan,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,26,20.9,17.4,17.0,17.4,47.4,44.1,14.9,22.5
1137,2013,2013,US,National,Grade,9th,GRADE,GRADE09,59,13.3,12.4,29.6,20.5,42.9,39.4,25.7,19.7
1138,2009,2009,AK,Alaska,Gender,Male,GEN,MALE,2,14.6,16.6,20.5,9.7,44.3,49.6,28.2,7.2
1140,2005,2005,TX,Texas,Total,Total,OVR,OVERALL,48,15.3,10.1,29.3,14.5,47.3,43.5,20.3,11.3
1143,2019,2019,KS,Kansas,Grade,10th,GRADE,GRADE10,20,19.6,17.3,24.0,23.5,48.8,52.5,13.6,17.1
1151,2009,2009,SD,South Dakota,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,46,14.9,7.5,29.9,13.5,40.0,40.4,17.2,25.8
1153,2019,2019,MO,Missouri,Total,Total,OVR,OVERALL,29,16.9,17.6,47.6,41.5,45.6,42.5,26.5,31.8
1158,2007,2007,AK,Alaska,Grade,12th,GRADE,GRADE12,2,22.2,28.9,20.6,21.8,50.2,53.4,23.2,12.1
1160,2013,2013,AL,Alabama,Race/Ethnicity,Hispanic,RACE,RACEHIS,1,14.6,12.6,39.3,36.5,42.8,41.8,23.6,27.7
1161,2015,2015,NC,North Carolina,Race/Ethnicity,Hispanic,RACE,RACEHIS,37,15.2,17.2,26.7,37.5,40.3,50.3,23.1,24.2
1162,2017,2017,CT,Connecticut,Grade,11th,GRADE,GRADE11,9,13.7,14.0,16.9,10.2,39.8,50.2,19.6,5.0
1165,2005,2005,MA,Massachusetts,Grade,9th,GRADE,GRADE09,25,15.7,17.3,21.3,20.0,55.5,55.5,24.9,26.2
1166,2015,2015,PA,Pennsylvania,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,42,20.4,3.5,19.3,9.6,27.2,48.2,9.8,22.5
1176,2011,2011,KY,Kentucky,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,21,16.9,15.3,36.0,33.6,37.4,40.8,25.8,42.6
1177,2019,2019,WV,West Virginia,Gender,Male,GEN,MALE,54,16.9,11.6,24.5,25.0,40.2,42.9,19.2,19.3
1183,2019,2019,UT,Utah,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,49,14.4,25.8,24.6,26.4,53.2,45.2,31.5,29.1
1190,2019,2019,DC,District of Columbia,Grade,10th,GRADE,GRADE10,11,17.2,17.4,32.5,28.3,43.6,40.5,35.3,26.7
1193,2017,2017,MI,Michigan,Grade,12th,GRADE,GRADE12,26,15.2,12.6,22.1,14.0,42.6,46.1,17.9,15.3
1194,2019,2019,VT,Vermont,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,50,12.5,7.2,26.1,27.1,31.3,30.5,25.5,12.6
1203,2005,2005,NE,Nebraska,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,31,17.0,13.9,21.2,17.6,41.3,50.0,21.3,25.3
1204,2019,2019,SD,South Dakota,Total,Total,OVR,OVERALL,46,18.7,12.5,17.3,11.9,37.5,41.6,21.7,6.2
1205,2009,2009,DE,Delaware,Gender,Male,GEN,MALE,10,15.7,16.7,18.8,25.6,58.7,52.0,14.2,15.6
1212,2015,2015,MT,Montana,Race/Ethnicity,Hispanic,RACE,RACEHIS,30,14.0,11.4,24.6,29.7,33.9,39.0,36.1,37.0
1214,2013,2013,VT,Vermont,Gender,Male,GEN,MALE,50,17.9,19.0,30.8,16.6,45.8,39.5,24.6,30.1
1218,2001,2001,MS,Mississippi,Grade,12th,GRADE,GRADE12,28,11.1,5.9,12.2,8.0,29.4,31.5,16.0,3.1
1222,2009,2009,AK,Alaska,Grade,12th,GRADE,GRADE12,2,16.3,9.2,27.5,20.3,36.7,36.1,19.1,23.1
1237,2017,2017,GU,Guam,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,66,13.6,13.5,15.2,22.6,40.7,48.7,20.6,20.9
1244,2017,2017,VT,Vermont,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,50,17.8,18.2,22.1,17.7,48.5,46.0,18.8,19.0
1248,2005,2005,NY,New York,Total,Total,OVR,OVERALL,36,12.0,9.8,24.1,27.4,32.6,36.9,24.2,35.7
1250,2017,2017,TN,Tennessee,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,47,14.7,14.2,26.8,25.5,40.5,43.9,25.3,23.5
1251,2007,2007,MA,Massachusetts,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,25,18.7,16.0,58.5,36.9,48.8,36.7,26.3,31.5
1253,2011,2011,AL,Alabama,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,1,16.8,9.7,28.1,21.7,40.9,39.2,24.0,24.8
1255,2001,2001,ND,North Dakota,Grade,11th,GRADE,GRADE11,38,14.2,8.7,18.6,10.9,37.5,43.0,18.7,30.5
1258,2007,2007,RI,Rhode Island,Grade,12th,GRADE,GRADE12,44,14.8,16.6,48.4,40.6,45.7,46.3,22.0,28.0
1260,2017,2017,MD,Maryland,Race/Ethnicity,Asian,RACE,RACEASN,24,12.0,8.1,19.8,13.1,32.7,32.7,23.8,33.9
1262,2017,2017,MD,Maryland,Gender,Female,GEN,FEMALE,24,16.2,24.3,22.7,33.0,48.7,49.6,28.3,26.8
1264,2017,2017,MI,Michigan,Gender,Female,GEN,FEMALE,26,14.7,11.7,26.1,16.3,40.7,42.6,17.7,9.9
1269,2015,2015,ND,North Dakota,Grade,10th,GRADE,GRADE10,38,19.1,25.0,30.6,12.4,63.7,46.4,21.8,20.7
1273,2013,2013,NJ,New Jersey,Gender,Male,GEN,MALE,34,16.9,14.3,38.6,34.3,47.0,48.8,20.1,23.1
1276,2017,2017,KY,Kentucky,Race/Ethnicity,Hispanic,RACE,RACEHIS,21,18.1,17.6,22.3,22.3,51.4,55.3,29.2,28.1
1277,2011,2011,AL,Alabama,Grade,10th,GRADE,GRADE10,1,14.7,19.3,20.4,19.7,50.6,49.2,27.1,27.6
1278,2011,2011,ME,Maine,Grade,9th,GRADE,GRADE09,23,15.6,12.8,27.0,17.3,37.5,40.5,21.4,15.8
1283,2013,2013,GA,Georgia,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,13,17.8,13.7,22.0,16.9,50.1,45.3,22.7,35.0
1291,2017,2017,DC,District of Columbia,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,11,21.8,20.9,20.4,23.4,53.5,53.7,22.2,19.1
1292,2007,2007,US,National,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,59,14.0,6.8,23.5,29.5,31.8,45.3,15.8,18.0
1293,2009,2009,AK,Alaska,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,2,12.9,9.9,18.2,14.2,35.9,43.6,21.5,16.4
1295,2019,2019,AZ,Arizona,Gender,Female,GEN,FEMALE,4,12.9,8.2,22.8,21.9,38.2,34.0,19.3,33.3
1299,2003,2003,MI,Michigan,Race/Ethnicity,Asian,RACE,RACEASN,26,12.5,19.8,44.9,38.4,49.7,46.5,29.3,30.6
1301,2019,2019,HI,Hawaii,Grade,12th,GRADE,GRADE12,15,19.5,14.4,39.0,33.0,49.8,37.0,14.0,44.9
1304,2003,2003,DE,Delaware,Grade,12th,GRADE,GRADE12,10,21.1,21.3,20.5,11.1,47.1,60.3,14.8,7.8
1308,2007,2007,DE,Delaware,Race/Ethnicity,Hispanic,RACE,RACEHIS,10,18.6,10.9,42.8,31.8,42.4,43.6,15.9,24.8
1315,2011,2011,AK,Alaska,Grade,11th,GRADE,GRADE11,2,20.6,15.1,35.0,37.9,53.7,58.6,21.0,24.7
1317,2017,2017,MD,Maryland,Gender,Male,GEN,MALE,24,17.1,18.5,23.7,16.3,38.3,30.9,31.8,40.1
1321,2009,2009,HI,Hawaii,Grade,11th,GRADE,GRADE11,15,12.4,14.8,24.7,15.1,39.0,43.3,23.5,34.3
1324,2019,2019,IL,Illinois,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,17,16.0,15.7,37.7,41.3,43.9,47.0,24.2,22.9
1333,2019,2019,CA,California,Grade,12th,GRADE,GRADE12,6,17.4,11.9,20.8,11.7,40.4,43.0,15.4,22.8
1334,2009,2009,AZ,Arizona,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,4,13.8,11.9,17.6,26.7,44.7,42.6,19.2,8.8
1337,2005,2005,RI,Rhode Island,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,44,14.5,16.3,36.6,35.7,45.0,41.4,21.4,14.8
